Data,Tolerance,Train_Size,Test_Size,Fold_Num,Model_Name,Fit_Time,Eval_Time,Min_Error,Max_Error,Median_Error,Average_Error
Parkinsons,0.4,374,94,2,Iterative Box Mesh,3.120577096939087,0.003518819808959961,-103.31380367,33.8713583884,-0.255372896488,-0.942699603939
Parkinsons,0.4,374,94,2,Voronoi Mesh,5.995561122894287,0.008959293365478516,0.119344971666,6.82171473242,2.6466025634,2.63003121948
Parkinsons,0.4,374,94,3,Max Box Mesh,2.6730480194091797,0.003036022186279297,-0.887711807813,8.34063978015,-0.315360856812,0.0420798307545
Parkinsons,0.4,374,94,3,Iterative Box Mesh,3.068350076675415,0.0033473968505859375,-51.7006702335,17.6402381344,0.0289490151852,0.00586025749558
Parkinsons,0.4,374,94,3,Voronoi Mesh,6.253900051116943,0.009163856506347656,-0.119361068996,8.6627711229,2.3023850482,2.65317359835
Parkinsons,0.4,374,94,4,Max Box Mesh,2.592974901199341,0.003017902374267578,-0.898711281402,2.47986011149,-0.2949070001,-0.160912119306
Parkinsons,0.4,374,94,4,Iterative Box Mesh,3.075171709060669,0.0033731460571289062,-963.645343953,587.198570312,-2.5036423864,-8.80104085453
Parkinsons,0.4,374,94,4,Voronoi Mesh,5.834118127822876,0.0082550048828125,-0.217686452383,8.28829987484,1.97531419175,2.35219930705
Parkinsons,0.4,374,94,5,Max Box Mesh,2.923452854156494,0.0031239986419677734,-0.870203194792,4.74991983757,-0.356721083616,-0.160173609187
Parkinsons,0.4,374,94,5,Iterative Box Mesh,3.0345001220703125,0.0033349990844726562,-13.7271775471,41.2645474084,0.0548689064277,0.791673973403
Parkinsons,0.4,374,94,5,Voronoi Mesh,5.72667121887207,0.008649110794067383,0.0155886519284,7.02734451543,2.56111014936,2.72255324464
Parkinsons,0.4,374,94,6,Max Box Mesh,2.5903842449188232,0.003029346466064453,-0.870162921005,17.455439897,-0.280180609089,0.198466756357
Parkinsons,0.4,374,94,6,Iterative Box Mesh,3.1337311267852783,0.0033919811248779297,-5059.4479131,872.009683358,-10.8062482593,-73.9218117333
Parkinsons,0.4,374,94,6,Voronoi Mesh,6.087599039077759,0.008990764617919922,-0.0308789016837,7.39091118152,2.2175004594,2.60159843869
Parkinsons,0.4,374,94,7,Max Box Mesh,2.6622159481048584,0.0030057430267333984,-0.975303189836,42.6128352906,-0.226350920049,0.381930094064
Parkinsons,0.4,374,94,7,Iterative Box Mesh,3.03733229637146,0.0033178329467773438,-263.400461086,82.759906084,-0.682722130776,-4.52349701903
Parkinsons,0.4,374,94,7,Voronoi Mesh,5.9372947216033936,0.009084939956665039,0.103015044343,8.34200774698,2.76286560079,2.98032968453
Parkinsons,0.4,374,94,8,Max Box Mesh,2.5743370056152344,0.0029599666595458984,-0.905424029545,13.3821131938,-0.310276767357,0.0635241330553
Parkinsons,0.4,374,94,8,Iterative Box Mesh,3.1199822425842285,0.003343820571899414,-173.071999538,97.4774470482,0.228633351326,0.543380146934
Parkinsons,0.4,374,94,8,Voronoi Mesh,6.052533864974976,0.009099006652832031,0.118972823811,7.3699694105,2.36331162919,2.69926282301
Parkinsons,0.4,374,94,9,Max Box Mesh,2.5809450149536133,0.00298309326171875,-0.972900813129,12.625983624,-0.390182104563,-0.0813040297762
Parkinsons,0.4,374,94,9,Iterative Box Mesh,3.1045639514923096,0.0034019947052001953,-592.868212867,643.488627202,-5.25828986445,-14.1378741714
Parkinsons,0.4,374,94,9,Voronoi Mesh,5.811564683914185,0.00887608528137207,0.224425242178,9.3528960476,2.52443451509,2.71446359104
Parkinsons,0.6,374,94,0,Max Box Mesh,2.9013729095458984,0.003159046173095703,-0.893029942397,5.38073496237,-0.306960680569,-0.0548412102591
Parkinsons,0.6,374,94,0,Iterative Box Mesh,3.050816059112549,0.0033490657806396484,-15.3334068738,26.7964929184,0.113779125582,0.646865200492
