
python3 run.py 

Data Header Information:
 22 ('total_UPDRS', 'Jitter(%)', 'Jitter(Abs)', 'Jitter:RAP', 'Jitter:PPQ5', 'Jitter:DDP', 'Shimmer', 'Shimmer(dB)', 'Shimmer:APQ3', 'Shimmer:APQ5', 'Shimmer:APQ11', 'Shimmer:DDA', 'NHR', 'HNR', 'RPDE', 'DFA', 'PPE')
 13 ('X', 'Y', 'month', 'day', 'FFMC', 'DMC', 'DC', 'ISI', 'temp', 'RH', 'wind', 'rain', 'area')
 5 ('File_Size', 'Record_Size', 'Threads', 'Frequency', 'Mean_Throughput')

Processed Data Sizes:
 (5875, 16) (5875,)
 (517, 12) (517,)
 (864, 4) (864,)

Data,Tolerance,Train_Size,Test_Size,Fold_Num,Model_Name,Fit_Time,Eval_Time,Min_Error,Max_Error,Median_Error,Average_Error
HPC I/O,0.0,691,173,9,Max Box Mesh,12.22784423828125,0.004579067230224609,-0.735779003476,423.453833321,6.50365018239,32.1696553373
HPC I/O,0.0,691,173,9,Iterative Box Mesh,12.124831914901733,0.004510164260864258,4.81473871319,9339.9992735,164.133603233,728.968024988
HPC I/O,0.0,691,173,9,Voronoi Mesh,62.203063011169434,0.015698909759521484,-0.993344336002,9.69189100868,-0.810984838352,-0.164464278984
HPC I/O,0.1,691,173,0,Max Box Mesh,11.645062923431396,0.004525184631347656,118.515564973,275446.745989,4600.41800925,19427.2553023
HPC I/O,0.1,691,173,0,Iterative Box Mesh,11.952971935272217,0.00939321517944336,-13126857.0719,-5696.68508944,-219288.152695,-925882.278009
HPC I/O,0.1,691,173,0,Voronoi Mesh,8.040083885192871,0.008228063583374023,-1.0,-1.0,-1.0,-1.0
HPC I/O,0.1,691,173,1,Max Box Mesh,11.745576858520508,0.004544973373413086,-0.971696924389,46.1696637719,0.118788160967,3.46052168505
HPC I/O,0.1,691,173,1,Iterative Box Mesh,11.642144918441772,0.00444793701171875,-0.974544778857,41.42345387,0.00621573574311,3.01170415072
HPC I/O,0.1,691,173,1,Voronoi Mesh,8.126934051513672,0.007675886154174805,-1.0,-1.0,-1.0,-1.0
HPC I/O,0.1,691,173,2,Max Box Mesh,12.060244083404541,0.00461125373840332,32.7504057394,69738.0763694,1039.1864382,6195.75453604
HPC I/O,0.1,691,173,2,Iterative Box Mesh,12.103184223175049,0.004570960998535156,-2.62741330206e+17,-1.27154343886e+14,-3.91889285981e+15,-2.33462158451e+16
HPC I/O,0.1,691,173,2,Voronoi Mesh,7.2751569747924805,0.007605075836181641,-1.0,-1.0,-1.0,-1.0
HPC I/O,0.1,691,173,3,Max Box Mesh,11.58559513092041,0.004440784454345703,507.602485205,1187984.19187,24449.7177398,88078.9107579
HPC I/O,0.1,691,173,3,Iterative Box Mesh,12.033535957336426,0.0044901371002197266,317.535410639,744028.692997,15312.372707,55163.0453172
HPC I/O,0.1,691,173,3,Voronoi Mesh,8.0874502658844,0.01044011116027832,-1.0,-1.0,-1.0,-1.0
HPC I/O,0.1,691,173,4,Max Box Mesh,11.687129974365234,0.004421710968017578,31.6622635673,64202.3103493,1085.7252853,5723.46951407
HPC I/O,0.1,691,173,4,Iterative Box Mesh,12.326490879058838,0.004491090774536133,26.5298526967,54113.6719031,914.961839707,4823.95042526
HPC I/O,0.1,691,173,4,Voronoi Mesh,7.8174519538879395,0.007567167282104492,-1.0,-1.0,-1.0,-1.0
HPC I/O,0.1,691,173,5,Max Box Mesh,11.990567207336426,0.004477977752685547,-0.990153557439,19.6985033493,-0.707381678016,0.584692233459
HPC I/O,0.1,691,173,5,Iterative Box Mesh,11.980361938476562,0.0045430660247802734,3.64573374198e+12,7.6638066592e+15,1.08344560318e+14,5.86746523969e+14
HPC I/O,0.1,691,173,5,Voronoi Mesh,7.7901928424835205,0.008812189102172852,-1.0,-1.0,-1.0,-1.0
HPC I/O,0.1,691,173,6,Max Box Mesh,11.767827033996582,0.004431009292602539,129.092275359,238054.626152,3925.31214043,19550.4519561
HPC I/O,0.1,691,173,6,Iterative Box Mesh,12.14241886138916,0.004589080810546875,-58451293.7062,-31943.3732542,-964053.074239,-4800591.76776
HPC I/O,0.1,691,173,6,Voronoi Mesh,8.21192216873169,0.009055852890014648,-1.0,-1.0,-1.0,-1.0
HPC I/O,0.1,691,173,7,Max Box Mesh,12.017336130142212,0.004528999328613281,-0.69553736617,506.745524256,9.21720089649,40.091642635
HPC I/O,0.1,691,173,7,Iterative Box Mesh,12.107593059539795,0.00461578369140625,-116216408509.0,-69687575.067,-2338585643.76,-9405347559.2
HPC I/O,0.1,691,173,7,Voronoi Mesh,7.923346281051636,0.009845256805419922,-1.0,-1.0,-1.0,-1.0
HPC I/O,0.1,691,173,8,Max Box Mesh,11.87999176979065,0.004492998123168945,-0.897907825845,260.444893573,2.11184631384,15.7144466442
HPC I/O,0.1,691,173,8,Iterative Box Mesh,11.71042275428772,0.004436969757080078,7.89862787945,22787.2385516,270.236875835,1455.87602531
HPC I/O,0.1,691,173,8,Voronoi Mesh,7.239208936691284,0.008478879928588867,-1.0,-1.0,-1.0,-1.0
HPC I/O,0.1,691,173,9,Max Box Mesh,11.614136695861816,0.004486083984375,-0.737797343107,488.506571965,5.90203782565,42.3211202385
HPC I/O,0.1,691,173,9,Iterative Box Mesh,11.86800503730774,0.004540920257568359,-101083139.693,-54145.8655651,-1425272.2563,-8945815.12423
HPC I/O,0.1,691,173,9,Voronoi Mesh,7.380814075469971,0.007046937942504883,-1.0,-1.0,-1.0,-1.0
