algorithm,step,0 percentile,10 percentile,25 percentile,50 percentile,75 percentile,90 percentile,100 percentile
ADAGRAD,28,0.23577489160075352,0.2742121261947862,0.29422422662773595,0.3197706204021844,0.3435202804019255,0.3618509484321858,0.40260297286978575
ADAGRAD,29,0.23499369003627255,0.27332754446373725,0.2933148245335662,0.31884050572257744,0.3425287791285566,0.3608285474370107,0.4014806944737382
ADAGRAD,30,0.23421031160668454,0.2724354937489128,0.29244257747546715,0.31792466650926193,0.3415666605764166,0.359819818722343,0.40037490197239284
ADAGRAD,31,0.23344439793356186,0.2715757141147141,0.2915659524288843,0.31701676096567266,0.34060430444606843,0.35881512370403085,0.39926246828034534
ADAGRAD,32,0.2327128509120321,0.2707373013948204,0.2907181283390634,0.31613242614911313,0.3396857923030745,0.3578592372054703,0.3981768610371428
ADAGRAD,33,0.23199756962354762,0.2699065304652358,0.2898652241669779,0.3152708997783097,0.3387670019107054,0.3568869366144393,0.39713964426692855
ADAGRAD,34,0.2313019446955941,0.26911692121364394,0.2890244462626006,0.31441180240795236,0.337851576641759,0.35593845391889645,0.39611127521432155
ADAGRAD,35,0.23061754409097499,0.26831237018147314,0.28819954709742446,0.31356848010711297,0.33692797690225007,0.3550062063829024,0.39512108325432155
ADAGRAD,36,0.2299480264619047,0.26754077073656085,0.2873858942442571,0.3127608518864286,0.3360731454811666,0.3540937877593178,0.39411791868920243
ADAGRAD,37,0.22928642606084165,0.26679501049636073,0.2865905045621621,0.3119243109305835,0.3352136464400178,0.3532012713118654,0.39311900622665485
ADAGRAD,38,0.22865011138326555,0.2660510612077192,0.285808919318886,0.31111577640774407,0.3343692510962887,0.3523031602945738,0.3921639854798453
ADAGRAD,39,0.22800444571625716,0.2653334271476001,0.28504641993558594,0.3103192353658214,0.3335386605588543,0.35145997329098694,0.3912279184919405
ADAGRAD,40,0.22735323429017867,0.26462191174377603,0.2842972257020137,0.3095323454303078,0.3327065401331934,0.35063055407773447,0.39030246017275
ADAGRAD,41,0.22675059204378809,0.2639295752199936,0.28357518014744826,0.3087553942992844,0.33191198283897033,0.349798254996619,0.38937684481567847
ADAGRAD,42,0.2261344325161691,0.26324071227236456,0.2828520631456524,0.3080077706886387,0.33111959632713106,0.34898917335426904,0.3884925978283929
