function,algorithm,step,0 percentile,10 percentile,25 percentile,50 percentile,75 percentile,90 percentile,100 percentile
multimin,ADAGRAD,15,0.2666758144671429,0.31195751407018574,0.33171201538521433,0.3572071017222143,0.3795769941481667,0.39262291073405237,0.42547327229166665
multimin,ADAGRAD,16,0.2652694593792857,0.31043917204811905,0.33015274774501197,0.35561715109964287,0.37789346724051204,0.39099240140217617,0.423658177985238
multimin,ADAGRAD,17,0.263975138261,0.3089891450154572,0.3286319207581786,0.3540560696806905,0.3763246956477857,0.38941938008206184,0.4219605633553333
multimin,ADAGRAD,18,0.26271685418376195,0.30763725041068096,0.3271660307259762,0.3525235534729762,0.37470314466753574,0.3878644893203524,0.4203289262712857
multimin,ADAGRAD,19,0.2615141741675714,0.3063141251505047,0.32576079254639284,0.3510628831318095,0.373156297664869,0.38643446975864293,0.4187399132439523
multimin,ADAGRAD,20,0.2603212777800951,0.3049832892135286,0.32432167817953567,0.3495123979524762,0.37171206233728576,0.38494946511558564,0.4171775149920475
multimin,ADAGRAD,21,0.25918256639299997,0.30371234709836187,0.3230114408070238,0.34813798600516666,0.3702954229886786,0.3835848493355,0.415627785176
multimin,ADAGRAD,22,0.2580537372936667,0.30248887019069054,0.32172445560158336,0.34685182039557144,0.36892514524163095,0.3822306647474285,0.4141736519522857
multimin,ADAGRAD,23,0.25691721335114287,0.30129298139218097,0.3204638109990357,0.34557107877340476,0.3675253628267501,0.3809642813232618,0.4127292945759524
multimin,ADAGRAD,24,0.25588679535419045,0.30012558559970004,0.3192382463535834,0.3443187574533333,0.36617017055954765,0.37967704585898093,0.4113447220804761
multimin,ADAGRAD,25,0.25489542677080956,0.2989851083393857,0.3180268847884405,0.3430801695854524,0.36481620402915466,0.3784804703375143,0.4099897730876191
multimin,ADAGRAD,26,0.2539030671947619,0.2978780600905524,0.3169002277263096,0.34190846283852383,0.3635127285617143,0.3773353946636667,0.4086418906643809
multimin,ADAGRAD,27,0.25291850229395235,0.2968275158893,0.3158040801217738,0.34080944321414275,0.36230838883598804,0.3761412799998952,0.40732765232280954
multimin,ADAGRAD,28,0.25195304418557146,0.29574201350967144,0.3147368241255714,0.3397595127802142,0.3611557287972262,0.3749474796990857,0.40601425977947614
multimin,ADAGRAD,29,0.2510294197921429,0.2946385287623667,0.3137137543624048,0.33874054514092855,0.35997352336091665,0.373839479608419,0.4047175687059524
multimin,ADAGRAD,30,0.25011967017004766,0.2934765963253,0.3127210542065357,0.3377058964538333,0.35889328975415474,0.37277905101331904,0.40350182992438105
multimin,ADAGRAD,31,0.24919290441371428,0.2924797321108095,0.3116819338836667,0.3366972483760476,0.35778488827422616,0.3717410809160762,0.4022523708476667
multimin,ADAGRAD,32,0.24829389325228574,0.2914448886633809,0.3107320023913572,0.3357279485080714,0.3567232248137738,0.37073314600822854,0.40105594608795225
multimin,ADAGRAD,33,0.2474656400098095,0.29044516392179043,0.3097654611786309,0.33474590585011904,0.3556418359692738,0.36970693742836197,0.3999031058473333
multimin,ADAGRAD,34,0.2466527619498095,0.28955852128427145,0.3088096107522024,0.3337430980239047,0.354593448840881,0.36871057619426195,0.39870741509080954
multimin,ADAGRAD,35,0.24587747697814286,0.2886577256110048,0.30785622851990474,0.3327817254203572,0.3535145812701548,0.36768464352302377,0.3975605654476191
multimin,ADAGRAD,36,0.24511709662042858,0.2877972718313571,0.3069156615395595,0.33187706538914286,0.35253356717947615,0.3667017598396953,0.396439720437
multimin,ADAGRAD,37,0.2443742796472381,0.2869416259216952,0.30595264670032146,0.33091752771369054,0.3515769683704643,0.36574209836315236,0.3953636949807143
multimin,ADAGRAD,38,0.24364671736519045,0.28609240489346666,0.30505826960492854,0.3300001239486429,0.35061077719015477,0.3648476168665048,0.3943165162283333
multimin,ADAGRAD,39,0.24293381277557144,0.2852792292739381,0.3041851762384405,0.3290616019108571,0.3496482714085952,0.3639519870401858,0.39329978379428565
multimin,ADAGRAD,40,0.24219040138200004,0.28445380695486194,0.3033211552140476,0.328164255548619,0.34873595886908326,0.36309448438283337,0.3922616870803333
