rotation,algorithm,step,0 percentile,10 percentile,25 percentile,50 percentile,75 percentile,90 percentile,100 percentile
0.0,ADAGRAD,31,0.206214589164475,0.24148843370906328,0.25937765481343333,0.28385198533783323,0.3063122460120417,0.32294158600485,0.3599094944585
0.0,ADAGRAD,32,0.20506620911951667,0.24021487075843248,0.25799789323030836,0.282464043898625,0.30483857167085415,0.32145760456646666,0.3581826678703333
0.0,ADAGRAD,33,0.20394116665167503,0.23895683098534834,0.25663842675783954,0.28110255505433335,0.3033906212379583,0.3199623732456333,0.3564870554836667
0.0,ADAGRAD,34,0.2028384408980333,0.23771355212470083,0.2553009899061667,0.27977583421275,0.30196914412131254,0.31847272425348333,0.3548213452828333
0.0,ADAGRAD,35,0.20175709086881666,0.23649652312055833,0.25398972386808955,0.27849341591954163,0.3005739708226875,0.317005016361575,0.3531843513808333
0.0,ADAGRAD,36,0.20069622205758333,0.23530008907890246,0.25270353960097497,0.27722857153395836,0.2992231327882708,0.3155637246506667,0.3515749576235834
0.0,ADAGRAD,37,0.19965501062131666,0.23412339069554666,0.2514327827179104,0.27596586986054167,0.29788952944645836,0.3141304195412,0.34999213076791663
0.0,ADAGRAD,38,0.1986327135802917,0.2329703611839725,0.2501662068843625,0.27471510333849997,0.2965409621702708,0.31272307507892505,0.3484349033580833
0.0,ADAGRAD,39,0.19762867483728333,0.23183687760240834,0.24894220189116037,0.2734770197821667,0.29523027576556243,0.3113664712463583,0.34690236939533325
0.0,ADAGRAD,40,0.19664208394965832,0.23072353482510832,0.24775313735559581,0.27227944987312497,0.2939419662532292,0.31004311494545833,0.34539367884491673
